@relation microarray.txt

@attribute Score numeric
@attribute totalMFE numeric
@attribute seedMFE numeric
@attribute totalGC numeric
@attribute totalAU numeric
@attribute seedGC numeric
@attribute seedAT numeric
@attribute seedGU numeric
@attribute Pos_2 numeric
@attribute Pos_4 numeric
@attribute Pos_6 numeric
@attribute Pos_7 numeric
@attribute Class {Target,Non-Target}

@data
146,-27.2,-14.3,4,8,1,5,1,2,2,2,3,Target
143,-18,-16.7,3,9,2,4,1,3,2,2,1,Target
141,-25.2,-12.6,5,9,2,4,0,5,2,2,1,Target
151,-22.9,-16.7,5,8,2,4,1,2,2,2,1,Target
150,-26,-16.6,5,8,2,4,1,2,2,2,1,Target
148,-22.8,-16.6,5,7,2,5,0,2,2,2,1,Target
148,-25.1,-16.7,5,8,2,4,1,3,2,2,1,Target
145,-19.74,-16.6,4,8,2,5,0,2,2,2,1,Target
143,-22.7,-14.3,3,9,1,5,1,2,2,2,3,Target
142,-24.4,-16.3,5,6,2,4,1,2,3,2,1,Target
141,-32.2,-16.7,5,7,2,4,1,3,2,2,1,Target
156,-27.2,-22.1,6,9,5,2,0,1,1,1,2,Target
150,-34,-20.8,7,8,4,2,1,1,1,1,2,Target
155,-28.6,-22.1,9,2,5,2,0,1,1,1,2,Target
151,-32.7,-20.8,8,6,4,2,1,1,1,1,2,Target
164,-34.7,-22.1,9,3,5,2,0,1,1,1,2,Target
151,-23.69,-22.1,7,5,5,2,0,1,1,1,2,Target
149,-23.7,-22.1,7,6,5,2,0,1,1,1,2,Target
142,-28.5,-21.7,8,4,5,1,1,1,1,1,3,Target
160,-28.4,-22.1,7,5,5,2,0,1,1,1,2,Target
151,-22,-22.1,7,5,5,2,0,1,1,1,2,Target
150,-30.7,-22.1,10,5,5,2,0,1,1,1,2,Target
146,-21.8,-22.1,7,4,5,2,0,1,1,1,2,Target
141,-32,-17.4,8,5,4,2,0,5,1,1,2,Target
140,-28.5,-22.1,6,3,5,2,0,1,1,1,2,Target
155,-23.1,-22.1,6,6,5,2,0,1,1,1,2,Target
154,-30.1,-22.1,8,6,5,2,0,1,1,1,2,Target
142,-21.4,-14,5,7,3,3,0,5,2,1,2,Target
156,-30.7,-20.4,8,4,4,3,0,2,1,2,1,Target
143,-25,-16,8,5,4,2,0,5,1,2,1,Target
151,-35.4,-22.1,10,3,5,2,0,1,2,1,2,Target
143,-17.7,-17.9,4,4,3,4,0,2,1,1,1,Target
140,-19.9,-17.9,5,4,3,4,0,2,1,1,1,Target
143,-25.6,-17.9,6,8,3,4,0,2,1,1,1,Target
152,-22.5,-17.9,5,6,3,4,0,2,1,1,1,Target
149,-24.7,-17.9,4,6,3,4,0,2,1,1,1,Target
148,-26.9,-14.4,7,7,3,3,0,5,1,1,1,Target
148,-28.1,-14.4,7,7,3,3,0,5,1,1,1,Target
146,-18.7,-17.9,4,7,3,4,0,2,1,1,1,Target
154,-27,-17.9,5,7,3,4,0,2,1,1,1,Target
149,-17.7,-17.9,4,6,3,4,0,2,1,1,1,Target
153,-24.37,-17.9,4,7,3,4,0,2,1,1,1,Target
143,-22.1,-15.7,5,6,2,4,1,2,3,1,1,Target
143,-26.8,-21,7,6,4,3,0,2,1,2,1,Target
160,-27.39,-17.9,3,9,3,4,0,2,1,1,1,Target
153,-27.5,-15.7,4,8,2,4,1,2,3,1,1,Target
141,-24,-17.4,4,6,3,3,1,2,1,1,1,Target
140,-26.2,-13.9,2,9,1,4,2,2,3,3,1,Target
146,-24.3,-14.4,5,9,3,3,0,5,1,1,1,Target
143,-22.9,-15.7,5,8,2,4,1,2,3,1,1,Target
143,-25.8,-17.9,7,5,3,4,0,2,1,1,1,Target
142,-20.9,-15.7,3,9,2,4,1,2,3,1,1,Target
161,-30.4,-17.9,5,8,3,4,0,2,1,1,1,Target
143,-31.2,-17.9,5,6,3,4,0,2,1,1,1,Target
140,-29,-17.5,6,7,3,3,1,2,1,1,1,Target
165,-27.5,-17.9,6,7,3,4,0,2,1,1,1,Target
156,-31.6,-17.9,7,6,3,4,0,2,1,1,1,Target
143,-23.1,-15.7,4,8,2,4,1,2,3,1,1,Target
152,-30.44,-17.9,6,6,3,4,0,2,1,1,1,Target
153,-22.3,-17.9,4,8,3,4,0,2,1,1,1,Target
149,-26.9,-15.7,5,9,2,4,1,2,3,1,1,Target
140,-23.5,-14.4,5,6,3,3,0,5,1,1,1,Target
148,-20.4,-17.9,4,6,3,4,0,2,1,1,1,Target
141,-29.1,-17.5,6,6,3,3,1,2,1,1,1,Target
158,-25.9,-17.9,7,7,3,4,0,2,1,1,1,Target
152,-25.2,-17.9,4,8,3,4,0,2,1,1,1,Target
150,-26.4,-17.9,5,5,3,4,0,2,1,1,1,Target
145,-30.2,-17.5,7,6,3,3,1,2,1,1,1,Target
155,-34.6,-17.5,6,6,3,3,1,2,1,1,1,Target
152,-27.6,-16.1,3,9,2,4,1,2,1,3,1,Target
163,-30.7,-21.3,5,9,4,3,0,1,2,2,1,Target
163,-32.8,-21.3,7,7,4,3,0,1,2,2,1,Target
145,-29,-19.3,5,8,3,3,1,1,2,2,3,Target
143,-25.52,-21.3,5,4,4,3,0,1,2,2,1,Target
140,-27.3,-17.3,8,6,4,2,0,1,2,5,1,Target
152,-24.5,-17.9,5,7,3,4,0,2,1,1,1,Target
143,-19.9,-14.4,3,8,3,3,0,5,1,1,1,Target
142,-22.2,-15.7,3,7,2,4,1,2,3,1,1,Target
164,-30.2,-17.9,6,7,3,4,0,2,1,1,1,Target
141,-29.2,-14.4,7,5,3,3,0,5,1,1,1,Target
152,-29.2,-17.9,3,8,3,4,0,2,1,1,1,Target
148,-21.7,-14.4,4,9,3,3,0,5,1,1,1,Target
140,-27.6,-13.9,3,8,1,4,2,2,3,3,1,Target
149,-29.6,-17.9,7,4,3,4,0,2,1,1,1,Target
167,-27.1,-17.9,6,9,3,4,0,2,1,1,1,Target
164,-30.2,-17.9,6,7,3,4,0,2,1,1,1,Target
153,-26.3,-17.9,6,6,3,4,0,2,1,1,1,Target
146,-27.3,-17.9,5,4,3,4,0,2,1,1,1,Target
156,-36.1,-22.9,5,7,5,2,0,1,1,1,2,Target
147,-20.7,-17.9,4,7,3,4,0,2,1,1,1,Target
145,-20.1,-17.9,3,6,3,4,0,2,1,1,1,Target
148,-18.8,-17.9,4,7,3,4,0,2,1,1,1,Target
146,-23.2,-17.9,3,7,3,4,0,2,1,1,1,Target
160,-24.9,-17.9,5,7,3,4,0,2,1,1,1,Target
146,-23,-12.2,6,8,2,4,0,5,1,2,2,Target
144,-24.6,-13.7,3,9,1,5,1,2,3,2,2,Target
143,-23.6,-13.7,2,9,1,5,1,2,3,2,2,Target
148,-31.3,-20.6,8,6,4,3,0,2,1,1,2,Target
145,-31.5,-20.6,6,4,4,3,0,2,1,1,2,Target
143,-18.2,-15.1,5,7,4,2,0,5,1,1,1,Target
146,-19.7,-17.1,4,8,2,5,0,2,2,1,2,Target
159,-32.6,-22.9,9,3,5,2,0,1,1,1,2,Target
143,-28.2,-22.3,9,5,5,1,1,1,1,1,3,Target
150,-27.2,-21.3,6,7,4,2,1,1,1,1,2,Target
144,-26.3,-22.9,7,3,5,2,0,1,1,1,2,Target
164,-26.2,-17.9,6,7,3,4,0,1,2,1,2,Target
145,-22.7,-15.7,3,10,2,4,1,1,2,3,2,Target
169,-23.9,-17.9,5,9,3,4,0,1,2,1,2,Target
154,-25.3,-17.9,6,7,3,4,0,1,2,1,2,Target
145,-22.7,-15.7,3,10,2,4,1,1,2,3,2,Target
159,-22.1,-20.4,5,8,4,3,0,1,2,1,2,Target
147,-23.8,-20.4,5,7,4,3,0,1,2,1,2,Target
172,-32.6,-20.4,7,9,4,3,0,1,2,1,2,Target
161,-24.6,-20.4,5,8,4,3,0,1,2,1,2,Target
163,-27.7,-20.4,4,11,4,3,0,1,2,1,2,Target
154,-28.4,-20.4,5,9,4,3,0,1,2,1,2,Target
158,-25.5,-19.5,6,9,4,3,0,2,1,1,2,Target
153,-25.3,-19.5,6,6,4,3,0,2,1,1,2,Target
152,-23.7,-19.5,6,6,4,3,0,2,1,1,2,Target
151,-24.7,-19.5,4,8,4,3,0,2,1,1,2,Target
145,-29.9,-19.6,6,6,4,2,1,3,1,1,2,Target
149,-23.3,-19.5,5,6,4,3,0,2,1,1,2,Target
169,-26.8,-20.9,6,10,4,3,0,1,1,2,2,Target
160,-22.8,-20.9,6,8,4,3,0,1,1,2,2,Target
157,-29.7,-20.9,5,9,4,3,0,1,1,2,2,Target
156,-24.7,-20.9,7,5,4,3,0,1,1,2,2,Target
149,-22.2,-20.9,5,6,4,3,0,1,1,2,2,Target
151,-26.1,-22.9,7,6,5,2,0,1,1,1,2,Target
145,-29.3,-22.9,5,5,5,2,0,1,1,1,2,Target
154,-25.5,-22.9,8,6,5,2,0,1,1,1,2,Target
145,-26.8,-22.9,6,6,5,2,0,1,1,1,2,Target
150,-28.8,-22.9,7,6,5,2,0,1,1,1,2,Target
149,-23.5,-22.9,7,4,5,2,0,1,1,1,2,Target
140,-23.9,-22.9,6,4,5,2,0,1,1,1,2,Target
145,-26.8,-22.9,6,6,5,2,0,1,1,1,2,Target
144,-26.3,-22.9,7,4,5,2,0,1,1,1,2,Target
